run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,useFW,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A13_freqRaw__PT-prepOH-t_acq__FW0_F17/A13_freqRaw__PT-prepOH-t_acq__FW0_F17_final.mat,freqRaw__PT+prepOH+t_acq__FW0,freqRaw,PT+prepOH+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21],0.301024317741394,0.001673533,4.537895e-05,0.001069349,3.26158e-05
